,Current Ratio,Debt-to-Equity Ratio,ESG Score,P/E (Daily Time Series Ratio),"Property Plant And Equipment, Total - Gross",ROA,ROE,RPE,Revenue Per Share,Total CO2 Equivalent Emissions To Revenues USD in million,returns_yearly
10591,-1.1885170569245127,0.024725396483940478,0.6357723944294694,-0.014205662202166323,-0.3556399386967811,-0.4760220297438829,-0.026415881559373126,-0.022915037914531845,-0.07709536800121258,1.677338538745216,0.7263977882979009
10592,-1.0281988068591383,0.02755424025050395,0.9337825870191819,-0.003752556170658735,-0.34533114486339994,-0.4873733400708289,-0.02554167270504178,-0.023090671569081882,-0.07552107448994126,1.7430756990358673,0.4843740889684045
10593,-0.8606533178792428,-0.03444928446825787,1.1240227194196866,-0.06971905985716702,-0.16352937999179654,-0.21616775352561635,-0.031149134221606117,0.004767309812111109,-0.07112702155082562,-0.24416213808025164,-0.20023750739571422
10594,-0.8531227908727544,-0.03480427754787961,1.4943738712551404,-0.10250890404184511,-0.18098875509915718,-0.23781584275165019,-0.03312214966350198,0.000901534812704578,-0.07223547247621465,-0.2435571816983887,-0.31660301798392815
10595,-0.7172060252340329,-0.03449038137537635,1.3455500890961343,-0.04349240121195343,-0.1525000340853403,-0.1680949187492893,-0.030192385193805002,0.02843576570563899,-0.06934354482002304,-0.251829841632037,-1.8014774897046022
10596,-0.7806775217861133,-0.0354837777223278,1.336837263210151,-0.12255957464934485,-0.16082750491907158,-0.4180346723975601,-0.043706707804066276,0.03425550756707603,-0.07005712777769188,-0.25173396236854917,-0.6188028791099716
10597,-0.6256692222776885,-0.0121219784546273,1.6139319975669986,0.40087369481131674,-0.11867326373272746,-0.6979567849104377,-0.055416937467531444,0.012833322409392504,-0.07043202685322883,-0.2522416362405576,1.621494013010938
10598,-0.4132604058880451,-0.01673355463831781,1.423931083968688,-0.12599889475429665,-0.0876422717713076,-0.2466474244034043,-0.024816313200151385,0.006795459977478432,-0.06503329972275308,-0.25739659881649984,0.5127751678718434
10599,0.40307908433031037,-0.004077341746361331,-1.7584815646792444,-0.082289311895995,-0.3463589856352584,-0.07196612011118832,-0.010857413781177267,-0.017689711920959007,-0.08682586545067841,0.2760813240211318,-0.5075597835814115
10600,0.23434304272757178,-0.009682086688884557,-0.8396589510683832,-0.10305460272022399,-0.34655199997702935,0.3721610990905709,0.018546106458284466,-0.020142990123998308,-0.08755517087952253,0.4420526178301166,0.9242027076198738
10601,0.3571048123888877,-0.021254635405760502,-0.7732784282490189,-0.10732066491888677,-0.34412939015502264,0.5873799690955647,0.015448606470473386,-0.018799301013414906,-0.08771404958568221,0.28380097617368394,-1.235591834138167
10602,-0.028143689655426112,-0.03131896255417587,-0.35648466312293803,-0.07758367836095978,-0.34621213955311536,0.5423168317887727,0.004003857399423031,-0.021058050608840022,-0.08768513532467707,0.3072344965785378,1.4863300815798055
10603,-0.16012198383568763,-0.024732333744259916,0.6747119741342904,-0.05213388316494398,-0.3419240091208914,-0.6093052659858376,-0.05238394087394347,-0.019941795373811234,-0.08791427252273606,0.15019017937728318,-0.3908116842332013
10604,0.6163358151077959,-0.03878215100954314,-2.3566832369217448,-0.11719902616448831,-0.3519493332333538,1.2569698979453003,0.09045321920873241,-0.021010299165689635,-0.07868382494752323,-0.2567212659247169,0.48342535503513145
10605,0.43944176298900567,-0.01653601406188565,-1.8719789191368919,-0.03735539120587153,-0.35571174396165506,-0.3353831672910091,-0.03963005624237334,-0.01942895236112472,-0.08631394953886795,-0.18124771048844712,0.5012232189369953
10606,0.09861864618877245,-0.014260511618069698,-1.4218453247643201,-0.05771333460746004,-0.3550532020468172,-0.34187832256980016,-0.03886004616794318,-0.019392457855406067,-0.08615782317315145,-0.20025908566741346,-0.36950906905560865
10607,0.4098621035552034,0.009433179048390528,0.2839580712912994,-0.07434490478115705,-0.121343963294768,0.40246640348508267,0.0695970879483636,-0.01621793448947162,-0.01901509822350332,0.36614912323387516,1.6856475402382785
10608,0.3275329205071813,0.056582840912187536,0.0013679827584456982,-0.08616514963603768,-0.08417503441774367,-0.061089496311329504,0.039269796895459286,-0.016546277930475962,-0.013152003021342019,0.22269786936647687,0.1800811707225896
10609,0.28362484169372404,0.025713748016964317,0.8161412575125528,-0.10761296447275569,-0.07624299027372539,0.14732896609130797,0.03649466923762627,-0.014444297195318319,-0.005568138554756971,0.3378325585710993,-0.6302147598428529
10610,-0.05694091761355343,0.08873310105763027,0.2770834736080203,-0.09678645676412603,-0.045660235234694584,-0.08665446924690204,0.05191908599602978,-0.012898107087192572,-0.0009286844540126477,0.20261119700358443,-0.7563056045163942
10611,-0.2160188897909625,0.06594444248519038,0.5811445891206125,-0.0993153035095493,-0.039704043242074355,-0.041801875743953915,0.04099111700706371,-0.013890441955728073,0.0009724100574983434,0.39251754244267006,0.010557207359191795
10612,-0.03119763672030769,0.04616838079779259,0.9736478814315638,-0.09758404001649974,-0.02638851787395701,-0.10624415279180165,0.018881188596670845,-0.016324333868720002,-0.00422620466450535,0.32988557241299477,0.2906662717563488
10613,-0.04141780334998695,0.031206844556378295,1.0429552138931772,-0.1150768029514415,-0.007174071590071555,-0.04834311761441207,0.01270697132546245,-0.013148040937553993,0.0023102310677298402,0.2880935769326647,-1.173700467959983
10614,0.17655768981661163,0.022180288730022014,1.2255523258469425,-0.09249072131131883,0.0031633577817356726,-0.0010582396126345343,0.011174883159272567,-0.01305776713683101,0.010274769038622698,0.28649978628687867,0.08697206953805521
10615,0.21261844137377808,0.01651459447140708,1.3011795206850114,-0.0398340405811696,0.013758506999377428,-0.1460257899575561,-0.0032165675793501096,-0.01627355043306038,0.004546403384660117,0.3039924604555002,0.8245580772160787
10616,0.1010258140655123,0.014218234407565611,1.172329309729671,-0.026551767713764104,0.031111643285569063,-0.26588006170098705,-0.013781293210390587,-0.017963875894023127,-0.0023005044174489587,0.2343931865946413,-0.39215851890395875
10617,0.22526705674621805,-0.008907926597691788,-2.1062667142062366,-0.08463922399441791,-0.354863454241094,0.009865779634266603,-0.004031063522109788,-0.016582657585298248,-0.07185673934666328,-0.27292539125554194,-0.744635255069756
10618,0.09860328121590523,-0.017045486659391137,-1.7553105122940331,0.06737887736667669,-0.35406294120971876,-0.1724277993267748,-0.02177549271661489,-0.016617510198240804,-0.07342819331420915,-0.2710798739951823,-0.632090197076105
