,Unnamed: 0,Total Current Assets,Total Current Liabilities,Total Debt,"Total Assets, Reported",Net Income - Actual,Revenue Per Share,Total Revenue,Total Equity,CO2 Emissions,ESG Score,Company Market Capitalization,PPE Total,P/E (Daily Time Series Ratio),returns_monthly
0,0,-0.3619555944289046,-0.3703641904419891,-0.3199134567725482,-0.43312817526324,-0.3618344302216231,-0.0771653417922848,-0.3733093288172152,-0.4330617565289174,-0.2570388009569453,-0.6593327523489837,-0.114927748608785,-0.3354045400286206,-0.0456644071173853,1.4403427245318454
1,1,-0.3573076028616531,-0.3789414360402817,-0.3187256096992729,-0.4315599920087514,-0.3551087273605878,-0.0770147749031069,-0.3718831418047348,-0.4292118139323982,-0.2597763181307498,-0.2427132060655473,-0.1158210153524737,-0.334949780405928,-0.0782551091093852,-0.5913811340123302
2,2,-0.3498295998139377,-0.3795824656925052,-0.3209545456909276,-0.4277692960336431,-0.3504905012749697,-0.0783937891162857,-0.377768386499572,-0.418803862858661,-0.2574943872421991,0.6562750094783187,-0.1149662013782296,-0.3355823124808096,-0.0817948993532427,-0.2476558465828096
3,3,-0.3510138286446291,-0.3547797026189931,-0.3131426125548386,-0.4246757801831664,-0.3541037549163578,-0.0794958774306233,-0.3810300007328647,-0.4164009413497669,-0.2519149491312358,-0.3388536081091888,-0.118911756118432,-0.3283725389172975,-0.0991513906603947,-1.33343129142081
4,4,-0.360914069214212,-0.3692940151623932,-0.3196355636728472,-0.423839562946721,-0.3469961634717021,-0.079222892918094,-0.3793738933366549,-0.4113833025249726,-0.2540510350601689,0.4734240508039647,-0.1145775818149693,-0.3254061011359335,-0.0757963793230473,0.7624540207753406
5,5,-0.3561832384047317,-0.3627518098752503,-0.3138647940858291,-0.4210756676600328,-0.3460491943382705,-0.0790399355644567,-0.3781823221244128,-0.4093178652115219,-0.2571084928725398,0.1828261017999385,-0.1154081524058156,-0.3237424745160052,-0.0801516886692453,-0.5179792120716946
6,6,-0.3607703818862388,-0.3650025576400832,-0.3231050394396952,-0.4242758546834558,-0.3419700113583359,-0.0794155748211732,-0.3798720101323323,-0.4082633226604553,-0.2556414607476294,0.4369255841430289,-0.1134344873124571,-0.3289810124665812,-0.0366340838567603,-0.0382212451003616
7,7,-0.3590149829326819,-0.3751994662219095,-0.3161666675230639,-0.4230898690751303,-0.3563584160725552,-0.079816609574907,-0.3819493687754997,-0.4096831535737366,-0.2580146971181454,0.6863972935287211,-0.1143421552896796,-0.3250386119647619,-0.0623014010890799,-0.6836399780334856
8,8,-0.3589629397544575,-0.3891352476407235,-0.3694611567145036,-0.4259238362900814,-0.345675077828127,-0.0609576935985878,-0.3858349425690755,-0.3703032015805023,-0.268668771998209,-1.0253469199537564,-0.1102216863212619,-0.3369394465271937,-0.0252472308071577,1.091406879210819
9,9,-0.357390237533721,-0.3938283366101101,-0.3692639984681534,-0.4240320339399057,-0.3398302296290208,-0.0596709835756423,-0.3836965245388984,-0.3622385765009136,-0.2671629571323357,-0.8256409614281278,-0.1088772236300448,-0.3352534434532398,-0.0628474171181323,0.4177717406318414
10,10,-0.3582453127388099,-0.3954816566079324,-0.3702869049690354,-0.4256770609285797,-0.3427915882033581,-0.0618902255191344,-0.387894540697721,-0.3648468173088279,-0.2679972146018707,-0.4736662479801986,-0.1039850610488253,-0.3370087962345131,-0.0136567296683998,0.8593493168534513
11,11,-0.354366912798839,-0.3950889458362611,-0.3699866776340016,-0.4250085679760618,-0.3291788455916993,-0.0613401441416249,-0.3867995403593678,-0.3626673655333967,-0.2690684358493122,-0.5865180765334547,-0.1018685987110927,-0.3367907818850484,-0.0570773893127269,-0.0012338265479256
12,12,-0.3413801013939921,-0.3880630815709623,-0.3527585898336092,-0.4157756478443106,-0.3209150171521404,-0.0596062339809747,-0.3838362725876997,-0.3570330291687839,-0.2724601622161541,0.1040528876505317,-0.0857698773475233,-0.3364298997315232,-0.0050850379965355,0.925152441645304
13,13,-0.334735464133199,-0.3454145551232362,-0.3462146570460849,-0.3920802396850059,-0.271808208320693,-0.0486074178421565,-0.3654647995507762,-0.3346445548792569,-0.2735366107236424,0.2349214490355394,-0.0823221919322315,-0.3313314753616508,-0.0465962321200782,0.0468143104648595
14,14,-0.3266174609827152,-0.3477603136511698,-0.3490420296460144,-0.3881562776836125,-0.2427315009282385,-0.0439888308624807,-0.3576293785461615,-0.318928251095922,-0.2734986158786636,0.5640315233705235,-0.0962280367348241,-0.3307048953037004,-0.0872616287655473,-1.4633968414552283
15,15,-0.29376986378344,-0.317615873850668,-0.3103573847629449,-0.3591148215081395,-0.1909209854413895,-0.0342346582059455,-0.3411953577204636,-0.2915232513793541,-0.2756175335474884,0.5216471758270923,-0.0952222732574908,-0.3195510046781545,-0.1069834673795349,0.2265082216780081
16,16,-0.3545801627765863,-0.3996197770424519,-0.3344043111877705,-0.4344866045814537,-0.3558946067420206,-0.0862590813150301,-0.4010957788701157,-0.3993058548510214,-0.2469966435491441,-1.56481611675164,-0.1127506053293923,-0.3428853906538158,-0.0737034078191443,-0.2285145266275737
17,17,-0.3220873239718722,-0.4008640271386365,-0.304294166258348,-0.4194304064136587,-0.3430166372989982,-0.0857724628396901,-0.3963572772502578,-0.391503832059158,-0.2496285362208667,-0.8070631567553881,-0.1158259884968125,-0.3385448485727021,-0.0818329497733153,-0.8261910706307385
